Cell	Phase
SA906-A73046B-R52-C63.bam	G1
SA906-A73046B-R52-C64.bam	S
SA906-A73046B-R52-C66.bam	G1
SA906-A73046B-R52-C69.bam	G1
SA906-A73046B-R52-C70.bam	G1
SA906-A73046B-R53-C04.bam	G1
SA906-A73046B-R53-C07.bam	G1
SA906-A73046B-R53-C09.bam	G1
SA906-A73046B-R53-C11.bam	G1
SA906-A73046B-R53-C13.bam	G1
SA906-A73046B-R53-C14.bam	S
SA906-A73046B-R53-C15.bam	S
SA906-A73046B-R53-C16.bam	G1
SA906-A73046B-R53-C17.bam	G1
SA906-A73046B-R53-C18.bam	G1
SA906-A73046B-R53-C19.bam	G1
SA906-A73046B-R53-C20.bam	G1
SA906-A73046B-R53-C21.bam	G1
SA906-A73046B-R53-C22.bam	G1
SA906-A73046B-R53-C23.bam	G1
SA906-A73046B-R53-C25.bam	S
SA906-A73046B-R53-C26.bam	S
SA906-A73046B-R53-C27.bam	S
SA906-A73046B-R53-C28.bam	G1
SA906-A73046B-R53-C29.bam	G1
SA906-A73046B-R53-C32.bam	G1
SA906-A73046B-R53-C35.bam	G1
SA906-A73046B-R53-C37.bam	G1
SA906-A73046B-R53-C38.bam	G1
SA906-A73046B-R53-C41.bam	S
SA906-A73046B-R53-C42.bam	G1
SA906-A73046B-R53-C43.bam	G1
SA906-A73046B-R53-C46.bam	S
SA906-A73046B-R53-C47.bam	S
SA906-A73046B-R53-C48.bam	G1
SA906-A73046B-R53-C49.bam	G1
SA906-A73046B-R53-C50.bam	S
SA906-A73046B-R53-C51.bam	G1
SA906-A73046B-R53-C52.bam	G1
SA906-A73046B-R53-C54.bam	G1
SA906-A73046B-R53-C55.bam	G1
SA906-A73046B-R53-C56.bam	G1
SA906-A73046B-R53-C58.bam	S
SA906-A73046B-R53-C59.bam	G1
SA906-A73046B-R53-C60.bam	G1
SA906-A73046B-R53-C61.bam	S
SA906-A73046B-R53-C63.bam	G1
