Cell	Phase	Subpopulation
SA1101-A96193B-R40-C31.bam	S	1
SA1101-A96193B-R40-C38.bam	G1	1
SA1101-A96193B-R40-C39.bam	S	1
SA1101-A96193B-R40-C40.bam	G1	1
SA1101-A96193B-R40-C41.bam	S	1
SA1101-A96193B-R40-C42.bam	S	1
SA1101-A96193B-R40-C43.bam	S	1
SA1101-A96193B-R40-C46.bam	S	1
SA1101-A96193B-R40-C48.bam	G1	2
SA1101-A96193B-R40-C49.bam	S	1
SA1101-A96193B-R40-C50.bam	S	1
SA1101-A96193B-R40-C52.bam	G1	1
SA1101-A96193B-R40-C57.bam	G1	1
SA1101-A96193B-R40-C58.bam	G1	1
SA1101-A96193B-R40-C59.bam	G1	2
SA1101-A96193B-R40-C60.bam	G1	1
SA1101-A96193B-R40-C64.bam	S	1
SA1101-A96193B-R40-C67.bam	G1	1
SA1101-A96193B-R40-C68.bam	G1	1
SA1101-A96193B-R41-C08.bam	S	1
SA1101-A96193B-R41-C11.bam	S	1
SA1101-A96193B-R41-C12.bam	G1	1
SA1101-A96193B-R41-C14.bam	S	1
SA1101-A96193B-R41-C16.bam	G1	1
SA1101-A96193B-R41-C21.bam	G1	1
SA1101-A96193B-R41-C22.bam	G1	1
SA1101-A96193B-R41-C23.bam	G1	1
SA1101-A96193B-R41-C24.bam	G1	1
SA1101-A96193B-R41-C25.bam	S	1
SA1101-A96193B-R41-C28.bam	S	1
SA1101-A96193B-R41-C29.bam	S	1
SA1101-A96193B-R41-C30.bam	G1	1
SA1101-A96193B-R41-C32.bam	S	1
SA1101-A96193B-R41-C43.bam	G1	1
SA1101-A96193B-R41-C48.bam	G1	1
SA1101-A96193B-R41-C51.bam	G1	1
SA1101-A96193B-R41-C55.bam	S	1
SA1101-A96193B-R41-C57.bam	S	1
SA1101-A96193B-R41-C58.bam	S	1
SA1101-A96193B-R41-C60.bam	G1	1
SA1101-A96193B-R41-C62.bam	S	1
SA1101-A96193B-R41-C64.bam	G1	2
SA1101-A96193B-R42-C07.bam	G1	1
SA1101-A96193B-R42-C08.bam	S	1
SA1101-A96193B-R42-C09.bam	G1	1
SA1101-A96193B-R42-C10.bam	G1	1
SA1101-A96193B-R42-C13.bam	G1	1
SA1101-A96193B-R42-C14.bam	G1	1
SA1101-A96193B-R42-C15.bam	S	1
SA1101-A96193B-R42-C17.bam	G1	2
SA1101-A96193B-R42-C22.bam	S	1
SA1101-A96193B-R42-C23.bam	G1	2
SA1101-A96193B-R42-C24.bam	G1	1
SA1101-A96193B-R42-C25.bam	S	1
SA1101-A96193B-R42-C29.bam	G1	1
SA1101-A96193B-R42-C30.bam	G1	2
SA1101-A96193B-R42-C31.bam	G1	1
SA1101-A96193B-R42-C32.bam	G1	1
SA1101-A96193B-R42-C38.bam	G1	1
SA1101-A96193B-R42-C39.bam	S	1
SA1101-A96193B-R42-C40.bam	G1	2
SA1101-A96193B-R42-C41.bam	G1	2
SA1101-A96193B-R42-C42.bam	S	1
SA1101-A96193B-R42-C46.bam	S	1
SA1101-A96193B-R42-C47.bam	G1	1
SA1101-A96193B-R42-C48.bam	S	1
SA1101-A96193B-R42-C54.bam	S	1
SA1101-A96193B-R42-C57.bam	G1	1
SA1101-A96193B-R42-C60.bam	S	1
SA1101-A96193B-R42-C63.bam	G1	1
SA1101-A96193B-R43-C12.bam	G1	1
SA1101-A96193B-R43-C14.bam	S	1
SA1101-A96193B-R43-C15.bam	S	1
SA1101-A96193B-R43-C16.bam	S	1
SA1101-A96193B-R43-C24.bam	G1	1
SA1101-A96193B-R43-C28.bam	S	1
SA1101-A96193B-R43-C31.bam	G1	1
SA1101-A96193B-R43-C39.bam	G1	1
SA1101-A96193B-R44-C08.bam	G1	2
SA1101-A96193B-R44-C09.bam	G1	2
SA1101-A96193B-R44-C13.bam	G1	1
SA1101-A96193B-R44-C14.bam	S	1
SA1101-A96193B-R44-C17.bam	G1	1
SA1101-A96193B-R44-C23.bam	G1	1
SA1101-A96193B-R44-C24.bam	G1	1
SA1101-A96193B-R44-C26.bam	S	1
SA1101-A96193B-R44-C28.bam	G1	1
SA1101-A96193B-R44-C29.bam	G1	1
SA1101-A96193B-R44-C30.bam	S	1
SA1101-A96193B-R44-C31.bam	S	1
SA1101-A96193B-R44-C32.bam	S	1
SA1101-A96193B-R44-C40.bam	G1	1
SA1101-A96193B-R44-C41.bam	G1	1
SA1101-A96193B-R44-C48.bam	G1	2
SA1101-A96193B-R44-C61.bam	G1	1
SA1101-A96193B-R45-C08.bam	G1	1
SA1101-A96193B-R45-C14.bam	G1	1
SA1101-A96193B-R45-C15.bam	G1	2
SA1101-A96193B-R45-C17.bam	G1	1
SA1101-A96193B-R45-C28.bam	G1	1
SA1101-A96193B-R45-C29.bam	G1	1
SA1101-A96193B-R45-C39.bam	G1	1
SA1101-A96193B-R46-C07.bam	G1	1
SA1101-A96193B-R46-C08.bam	G1	1
SA1101-A96193B-R46-C09.bam	G1	1
SA1101-A96193B-R46-C11.bam	G1	1
SA1101-A96193B-R46-C13.bam	G1	1
SA1101-A96193B-R46-C14.bam	G1	2
SA1101-A96193B-R46-C16.bam	G1	1
SA1101-A96193B-R46-C17.bam	G1	1
SA1101-A96193B-R46-C23.bam	S	1
SA1101-A96193B-R46-C24.bam	G1	1
SA1101-A96193B-R46-C25.bam	G1	1
